No_Shot,Machine_Cycle_Time,Cycle_Time,Barrel_Temp_Z1,Barrel_Temp_Z2,Barrel_Temp_Z3,Barrel_Temp_Z4,Hopper_Temp,Injection_Pressure_Real_Time,Screw_Position,Injection_Peak_Press,Max_Injection_Rate,Screw_Velocity,VP_Time,VP_Position,Weighing_Start_Position,VP_Press,Plasticizing_Time,Plasticizing_Start_Position,Plasticizing_End_Position,Plasticizing_RPM,Minimum_Cushion,Cooling_Time,Back_Flow,Decompression_Time,_ID
155,16.66,16.66,210,200,195,190,40.1,1.36,6.49,1284.49,78.18,46.98,2,8.11,11,1160.9,4.87,10.99,63.11,28.27,6.49,8,49.03,0.32,155
156,16.66,16.68,210.1,200.1,195.1,190.1,40.2,1.36,6.5,1277.63,78.18,48.74,2,8.14,11,1167.88,4.86,10.99,63.11,28.27,6.5,8,49.03,0.32,156
157,16.64,16.68,210.1,199.9,195.1,190,40.1,1.35,6.61,1245.58,78.1,47.58,2,8.13,11.1,1201.8,4.86,11.08,63.11,28.27,6.61,8,49.03,0.33,157
158,16.64,16.66,209.9,199.9,195,190,40.1,1.33,6.45,1240.96,78.27,46.38,2,8.13,10.9,1212.65,4.92,10.89,63.11,28.27,6.45,8,49.03,0.32,158
159,16.64,16.64,210,200.1,195.1,190,40.1,1.33,6.46,1258.05,78.25,47.42,2,8.14,10.96,1191.33,4.85,10.95,63.12,28.27,6.46,8,49.03,0.32,159
160,16.62,16.66,210,199.9,195.1,190.1,39.9,1.34,6.53,1258.67,78.21,46.89,2,8.11,11.02,1195.82,4.87,11.01,63.11,28.27,6.53,8,49.03,0.33,160
161,16.64,16.65,209.9,200.1,195.1,190.1,40,1.33,6.39,1273.14,78.34,46.71,2,8.11,10.89,1176.86,4.91,10.88,63.11,28.27,6.39,8,49.03,0.32,161
162,16.64,16.64,210,200,195,190,40,1.34,6.45,1262.16,78.24,46.57,2,8.13,10.92,1181.22,4.86,10.9,63.12,28.27,6.45,8,49.03,0.32,162
163,16.64,16.66,209.9,200.1,194.9,190,40,1.35,6.38,1262.04,78.29,47.68,2,8.1,10.9,1183.22,4.88,10.89,63.11,28.27,6.38,8,49.03,0.33,163
164,16.64,16.66,210,200.1,194.8,189.9,40,1.34,6.46,1270.77,78.23,47.97,2,8.1,10.96,1164.64,4.82,10.95,63.11,28.27,6.46,8,49.03,0.32,164
165,16.66,16.66,210,200.1,194.8,190,40.1,1.36,6.5,1290.35,78.23,46.82,2,8.11,11.01,1154.29,4.81,11.01,63.11,28.27,6.5,8,49.03,0.33,165
166,16.66,16.66,210,199.9,195.1,190,40.2,1.36,6.56,1292.72,78.13,47.74,2,8.14,11.05,1147.8,4.85,11.03,63.11,28.27,6.56,8,49.03,0.32,166
167,16.68,16.69,209.9,199.9,195,190.1,40.2,1.37,6.48,1259.79,78.19,48.82,2,8.11,10.97,1189.83,4.89,10.96,63.11,28.27,6.48,8,49.03,0.33,167
